query,name,site,subtypes,category,type,latitude,longitude,range,typical_time_spent,google_id,place_id,about
ChIJZxWPppeipBIR5qNYPC13n6M,Telepizza Gran de Gràcia - Comida a Domicilio,https://www.telepizza.es/?utm_source=gmb-tpz,"Pizza restaurant, Fast food restaurant, Gluten-free restaurant, Italian restaurant, Delivery Restaurant, Pizza delivery, Pizza Takeout, Restaurant",restaurants,Pizza restaurant,41.3988388,2.1565431999999998,$,,0x12a4a297a68f1567:0xa39f772d3c58a3e6,ChIJZxWPppeipBIR5qNYPC13n6M,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Restroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Kids' menu"": true}}"
ChIJgXhRA5iipBIRlYIbAhFwH-c,Taberna del Cura Restaurante - Asador,https://monchos.com/es/restaurante/taberna-del-cura-11.html,"Spanish restaurant, Grill, Banquet hall, Castilian restaurant, Chicken restaurant, Brasserie, Rice restaurant, Tapas bar",restaurants,Spanish restaurant,41.4005055,2.1545392,$$,People typically spend 1-2.5 hours here,0x12a4a29803517881:0xe71f7011021b8295,ChIJgXhRA5iipBIRlYIbAhFwH-c,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Late-night food"": true, ""Private dining room"": true, ""Salad bar"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}, ""Parking"": {""Paid parking lot"": true, ""Parking"": true}}"
ChIJhxljRNeipBIRkf_-Svr0MG0,Kailash Tibetan Restaurant,,"Tibetan restaurant, Asian fusion restaurant, Asian restaurant, Family restaurant, Indian restaurant, Delivery Restaurant, Takeout Restaurant, Nepalese restaurant",restaurants,Tibetan restaurant,41.3982734,2.162232,$,People typically spend 1.5-2 hours here,0x12a4a2d744631987:0x6d30f4fa4afeff91,ChIJhxljRNeipBIRkf_-Svr0MG0,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible restroom"": true, ""Wheelchair accessible entrance"": false, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Halal food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Checks"": true, ""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Pets"": {""Dogs allowed"": true}, ""Other"": {""Identifies as women-owned"": true}}"
ChIJS7WPkriipBIRFNzFKvmNAi8,Ametller Origen,https://www.ametllerorigen.com/ca/?utm_campaign=gmb-listing,"Convenience store, Bakery, Box lunch supplier, Dry fruit store, Fruit and vegetable store, Takeout Restaurant, Natural goods store, Organic food store, Supermarket, Wine store",Tienda de alimentación,Convenience store,41.407765,2.1634349999999998,,People typically spend 20 min here,0x12a4a2b8928fb54b:0x2f028df92ac5dc14,ChIJS7WPkriipBIRFNzFKvmNAi8,"{""Service options"": {""Curbside pickup"": true, ""Delivery"": true, ""In-store pickup"": true, ""In-store shopping"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Prepared foods"": true}, ""Amenities"": {""Wi-Fi"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}"
ChIJqxz_If6ipBIR_9ch1tSjMqI,Restaurant Salero,https://www.restaurantesalero.com/,"Restaurant, Bar & grill",restaurants,Restaurant,41.4006214,2.1602859999999997,$$,People typically spend 1.5-2.5 hours here,0x12a4a2fe21ff1cab:0xa232a3d4d621d7ff,ChIJqxz_If6ipBIR_9ch1tSjMqI,"{""Emergency help"": {""Employs displaced individuals"": true}, ""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Organic dishes"": true, ""Salad bar"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Romantic"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Parking"": true}, ""Pets"": {""Dogs allowed"": true, ""Dogs allowed inside"": true, ""Dogs allowed outside"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
ChIJjZuIUbyipBIRsUcC8RBuQqQ,Tortilleria La Antigua de México,http://www.laantiguademexico.com/,"Tortilla shop, Catering food and drink supplier, Delivery service, Feed manufacturer, Mexican goods store, Mexican grocery store, Mexican restaurant",Tortilleria,Tortilla shop,41.403864299999995,2.1583988,,People typically spend 20-45 min here,0x12a4a2bc51889b8d:0xa4426e10f10247b1,ChIJjZuIUbyipBIRsUcC8RBuQqQ,"{""Service options"": {""Delivery"": true, ""In-store pickup"": true, ""In-store shopping"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": false}, ""Amenities"": {""Wi-Fi"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}"
ChIJXfNnS6OipBIRJ8TxY1JBl4I,.IT - Italian Tradition,https://m.facebook.com/puntoitsocial/?locale2=es_ES,"Italian restaurant, Pizza restaurant",restaurants,Italian restaurant,41.405155199999996,2.1547692,₱,People typically spend 1-2 hours here,0x12a4a2a34b67f35d:0x8297415263f1c427,ChIJXfNnS6OipBIRJ8TxY1JBl4I,"{""Service options"": {""Outdoor seating"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair accessible entrance"": false, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Hard liquor"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}}"
ChIJq7fFcb2ipBIR1ROcxJNdHBY,Restaurant Envalira,https://www.facebook.com/Envalira-Restaurant-237549753771595/,"Mediterranean restaurant, Seafood restaurant",restaurants,Mediterranean restaurant,41.4019444,2.1566666999999997,₱₱,People typically spend 2 hours here,0x12a4a2bd71c5b7ab:0x161c5d93c49c13d5,ChIJq7fFcb2ipBIR1ROcxJNdHBY,"{""Service options"": {""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Checks"": true, ""Credit cards"": true, ""Debit cards"": true}, ""Children"": {""Good for kids"": true}, ""Parking"": {""Paid street parking"": true}, ""Pets"": {""Dogs allowed"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
ChIJQyVoNJSipBIRWOkhd81fXYg,Swagatam Restaurant,https://swagatamrestaurant.com/,"Indian restaurant, Ramen restaurant",restaurants,Indian restaurant,41.3982823,2.1607472999999997,₱,People typically spend 1-1.5 hours here,0x12a4a29434682543:0x885d5fcd7721e958,ChIJQyVoNJSipBIRWOkhd81fXYg,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Halal food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Children"": {""Good for kids"": true}}"
ChIJHYTzlr6ipBIRah1lmVf2mtA,"Restaurante ""La Taina""",,"Restaurant, Catalonian restaurant",restaurants,Restaurant,41.4045719,2.1606636999999997,,,0x12a4a2be96f3841d:0xd09af65799651d6a,ChIJHYTzlr6ipBIRah1lmVf2mtA,"{""Service options"": {""Dine-in"": true}, ""Offerings"": {""Alcohol"": true, ""Wine"": true}}"
ChIJGVCPl72ipBIRSeI5JEDIt7U,Restaurant La Llar de Foc,https://www.lallardefoc.com/,"Meat dish restaurant, Catalonian restaurant",restaurants,Meat dish restaurant,41.4022182,2.1578597999999998,$$,People typically spend 1.5-2.5 hours here,0x12a4a2bd978f5019:0xb5b7c8402439e249,ChIJGVCPl72ipBIRSeI5JEDIt7U,"{""Service options"": {""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair accessible entrance"": false, ""Wheelchair accessible parking lot"": false, ""Wheelchair accessible restroom"": false, ""Wheelchair accessible seating"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Hard liquor"": true, ""Organic dishes"": true, ""Private dining room"": true, ""Salad bar"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
ChIJY1Z0yr-ipBIRkH_II3aRJlo,Restaurant Cal Boter,https://www.restaurantcalboter.com/,"Catalonian restaurant, Mediterranean restaurant, Traditional restaurant",Restaurant de cuina catalana,Catalonian restaurant,41.4021694,2.1624917,$$,People typically spend 1-2.5 hours here,0x12a4a2bfca745663:0x5a26917623c87f90,ChIJY1Z0yr-ipBIRkH_II3aRJlo,"{""Service options"": {""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}}"
ChIJa0hfV6CipBIR3LtY5k3V_uQ,Creperia Krampus sin gluten,http://www.krampuscrepes.com/,"Creperie, Gluten-free restaurant",restaurants,Creperie,41.4035289,2.1468857999999997,$$,People typically spend 1-2.5 hours here,0x12a4a2a0575f486b:0xe4fed54de658bbdc,ChIJa0hfV6CipBIR3LtY5k3V_uQ,"{""Service options"": {""Outdoor seating"": true, ""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""In-store pickup"": true, ""In-store shopping"": true, ""Takeout"": true, ""Dine-in"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false, ""Wheelchair accessible restroom"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Healthy options"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true, ""Romantic"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Kids' menu"": true}, ""Pets"": {""Dogs allowed"": true, ""Dogs allowed outside"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
